dataset,method,run_name,row_type,seed,status,roc_auc,auprc,macro_f1,f1,delta_auprc_vs_base,delta_roc_auc_vs_base,delta_macro_f1_vs_base,delta_auprc_vs_best_single,delta_macro_f1_vs_best_single,near_cap_fraction,residual_shift_mean,residual_shift_max_abs,mean_gate_all_relations,gate_vs_near_cap_corr,gate_vs_abs_residual_corr,mean_sparse_penalty,positive_auprc_vs_base_seeds
amazon,best_single,cover_rel_uvu_nollm,seed,789,complete,0.9170404016256275,0.8161345757855765,0.9141528538213455,0.8391376451077943,0.004002533676580988,0.0019179672825380134,0.001707907794391894,0.0,0.0,0.7272270321846008,0.08328942954540253,0.20000076293945312,,,,,
amazon,best_single,cover_rel_uvu_nollm,seed,2026,complete,0.9498726136402444,0.858919129663054,0.9273408483742751,0.8640776699029126,0.0028791561804858423,0.0013578771216828933,0.0,0.0,0.0,0.7720194458961487,0.10939180105924606,0.20000076293945312,,,,,
amazon,best_single,cover_rel_uvu_nollm,mean,,5/5 complete,0.9597314299375022,0.8543587159026116,0.9174582467468466,0.8454194550555794,0.0031585023072043363,0.0012133465387110577,0.000447836914786337,0.0,0.0,0.8285331487655639,0.12812017947435378,0.20000052452087402,,,,,5
amazon,best_single,cover_rel_uvu_nollm,std,,5/5 complete,0.02684750741605465,0.022297201368259755,0.0056311807671338325,0.010632533553408659,0.0020330931775483507,0.0006538716496541374,0.0007410152730200694,0.0,0.0,0.09822941574497289,0.03130772606468646,3.371747880871523e-07,,,,,5
amazon,all_rel,cover_rel_all_nollm,seed,42,complete,0.9729831631433352,0.8731666221762755,0.9161821191105433,0.8429752066115702,0.004410729438296568,0.0012929886274375413,0.001013050419499839,-0.001684269719034237,0.001013050419499839,0.9449933171272278,0.13748905062675476,0.20000004768371582,,,,,
amazon,all_rel,cover_rel_all_nollm,seed,123,complete,0.9823045661008845,0.8614243869001847,0.9166954284459226,0.8440065681444991,0.001412200094405791,0.0002998531470919108,0.0,0.0007083117341977196,0.0,0.9212156534194946,0.17764541506767273,0.20000076293945312,,,,,
amazon,all_rel,cover_rel_all_nollm,seed,456,complete,0.9759857928349442,0.8615698733043867,0.9139330344016465,0.8388157894736842,0.002508900462672048,0.0007274341723302324,0.000531276779539791,0.00039696630125607424,0.0,0.9498493075370789,0.15734320878982544,0.20000004768371582,,,,,
amazon,all_rel,cover_rel_all_nollm,seed,789,complete,0.9170649909497628,0.815072266787911,0.9149416479921526,0.8407224958949097,0.002940224678915526,0.0019425566066733069,0.002496701965199022,-0.001062308997665462,0.0007887941708071278,0.9189551472663879,0.09561813622713089,0.20000076293945312,,,,,
amazon,all_rel,cover_rel_all_nollm,seed,2026,complete,0.9505447218332708,0.8590813951872782,0.9273408483742751,0.8640776699029126,0.003041421704710112,0.002029985314709215,0.0,0.00016226552422426987,0.0,0.8110348582267761,0.06730174273252487,0.20000076293945312,,,,,
amazon,all_rel,cover_rel_all_nollm,mean,,5/5 complete,0.9597766469724395,0.8540629088712073,0.917818615664908,0.8461195460055152,0.002862695275800009,0.0012585635736484413,0.0008082058328477304,-0.0002958070314043271,0.00036036891806139336,0.9092096567153931,0.12707951068878173,0.20000047683715821,,,,,5
