relation_set,seed,relation,stat,mean,std,min,q05,q50,q95,max,degree_q10,degree_q90,feature_deviation_q90,neighbor_cosine_q10,fraud_proto_train_nodes,benign_proto_train_nodes,prototype_labels,test_label_used
all,123,UPU,benign_proto_dist_z,-1.3917065189161804e-07,1.0,-1.7948808670043945,-1.3914875984191895,0.022066906094551086,1.463436245918274,10.229304313659668,0.0,53.0,1478.084805091266,0.029128107270255978,272,3777,train_only,False
all,123,UPU,fraud_minus_benign_margin_z,3.449324381676888e-08,1.0,-0.47913849353790283,-0.47543609142303467,-0.4741324186325073,2.147467613220215,2.1554245948791504,0.0,53.0,1478.084805091266,0.029128107270255978,272,3777,train_only,False
all,123,USU,log_degree_norm,0.6262906193733215,0.17721889913082123,0.0,0.3237881064414978,0.637668251991272,0.889706552028656,1.0,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,327,4420,train_only,False
all,123,USU,degree_top10,0.10005023330450058,0.3000669777393341,0.0,0.0,0.0,1.0,1.0,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,327,4420,train_only,False
all,123,USU,degree_low,0.10021768510341644,0.3002900183200836,0.0,0.0,0.0,1.0,1.0,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,327,4420,train_only,False
all,123,USU,feature_l2_deviation_z,6.451514167338246e-08,1.0,-1.2433476448059082,-1.1202811002731323,-0.13833817839622498,1.9550968408584595,7.9173736572265625,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,327,4420,train_only,False
all,123,USU,neighbor_cosine,0.4061853289604187,0.4283958375453949,0.0,0.032196663320064545,0.11114911735057831,0.9998648166656494,0.9999904632568359,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,327,4420,train_only,False
all,123,USU,zscore_high_fraction,0.053000666201114655,0.09005489200353622,0.0,0.0,0.0,0.2800000011920929,0.8399999737739563,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,327,4420,train_only,False
all,123,USU,fraud_proto_dist_z,-2.9063752293723155e-08,1.0,-1.0466890335083008,-0.8057053685188293,-0.23962217569351196,2.157386541366577,9.0541353225708,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,327,4420,train_only,False
all,123,USU,benign_proto_dist_z,-2.0759822305649323e-08,1.0,-1.6350104808807373,-1.2737586498260498,-0.036282774060964584,1.6649706363677979,10.091924667358398,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,327,4420,train_only,False
all,123,USU,fraud_minus_benign_margin_z,2.5550551896458273e-08,1.0,-0.5275925993919373,-0.5274409055709839,-0.5267772674560547,1.99476158618927,1.994953989982605,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,327,4420,train_only,False
all,123,UVU,log_degree_norm,0.48948347568511963,0.16314803063869476,0.0,0.20416197180747986,0.5139896869659424,0.7403689026832581,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
all,123,UVU,degree_top10,0.10005023330450058,0.3000669777393341,0.0,0.0,0.0,1.0,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
all,123,UVU,degree_low,0.10222706198692322,0.30294668674468994,0.0,0.0,0.0,1.0,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
all,123,UVU,feature_l2_deviation_z,-1.9162913478254495e-09,0.9999999403953552,-1.7532777786254883,-1.5425649881362915,0.020388273522257805,1.6036139726638794,7.872159004211426,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
