dataset,base,mode,n_seeds,n_paired_vs_baseline,auprc_mean,auprc_std,capture_pct,teacher_auprc,base_only_auprc,t_vs_baseline,p_vs_baseline,sig_vs_baseline
yelpchi,sage,opd_action_strict_mh,5,5,0.6054162057813731,0.008748066920322336,93.19053559589162,0.6496541756200223,0.44733600064317436,3.003453020228223,0.019903117257635015,★
yelpchi,gcn,off_policy,5,5,0.5308043302421933,0.010866054614436148,91.64366785040336,0.5792045895725867,0.218063794381025,nan,nan,
yelpchi,gcn,all_node_mh,5,5,0.5471131114165737,0.020877742068911066,94.45938814474964,0.5792045895725867,0.218063794381025,1.9528966954931823,0.06127455187619973,
yelpchi,gcn,det_mask,5,5,0.5776962562182588,0.021675910598185376,99.73958539323023,0.5792045895725867,0.218063794381025,5.344719716523621,0.002953267986107661,★★
yelpchi,gcn,g_opd_flash,5,5,0.5475717945403802,0.019961773295131276,94.53858004551564,0.5792045895725867,0.218063794381025,2.178378215454895,0.04745821236055732,★
yelpchi,gcn,opd_action_strict,5,5,0.5430738729729414,0.015775241176235025,93.76201134277832,0.5792045895725867,0.218063794381025,1.7405937352748737,0.07836462008057833,
yelpchi,gcn,opd_action_strict_mh,5,5,0.537542896502192,0.015223715580810641,92.80708512666686,0.5792045895725867,0.218063794381025,1.1767220348563536,0.1522748934751881,
yelpchi,gat,off_policy,5,5,0.55790663551017,0.011172424979192117,88.86538951032814,0.6278109380765486,0.20583710138086858,nan,nan,
yelpchi,gat,all_node_mh,5,5,0.5808961385719931,0.013687501385037487,92.52724082057404,0.6278109380765486,0.20583710138086858,3.0610085078366587,0.01881072143812714,★
yelpchi,gat,det_mask,5,5,0.6179649781930492,0.012593873030458726,98.43169985001138,0.6278109380765486,0.20583710138086858,10.319908227513018,0.00024871943450498657,★★★
yelpchi,gat,g_opd_flash,5,5,0.5813674412892156,0.013290346205924928,92.60231162432054,0.6278109380765486,0.20583710138086858,4.482794914433626,0.00548314276436876,★★
yelpchi,gat,opd_action_strict,5,5,0.58598888901279,0.0062756021361321255,93.33843255552529,0.6278109380765486,0.20583710138086858,8.276342349659487,0.0005816188290075508,★★★
yelpchi,gat,opd_action_strict_mh,5,5,0.5724054894091668,0.008459339146540968,91.17481947079006,0.6278109380765486,0.20583710138086858,2.930550708594747,0.021395148448635475,★
amazon,bwgnn,off_policy,5,5,0.8653049777593284,0.028185565419716643,97.1483418184566,0.89070483506177,0.8831771198354235,nan,nan,
amazon,bwgnn,all_node_mh,5,5,0.8659729784217177,0.028283311409344786,97.22333867893093,0.89070483506177,0.8831771198354235,0.9825843148017612,0.19072160654581488,
amazon,bwgnn,det_mask,5,5,0.8657419404285405,0.031193946288689763,97.19739989606116,0.89070483506177,0.8831771198354235,0.25007083731596125,0.4074254519482066,
amazon,bwgnn,g_opd_flash,5,5,0.8657592441870208,0.02885653776561396,97.19934260006355,0.89070483506177,0.8831771198354235,0.6482633118062497,0.2760745213365291,
amazon,bwgnn,opd_action_strict,5,5,0.8655903682066193,0.03106295490007131,97.18038278602035,0.89070483506177,0.8831771198354235,0.16123398208041345,0.43986249870115474,
amazon,bwgnn,opd_action_strict_mh,5,5,0.8642594776505532,0.031353498654291566,97.03096285433514,0.89070483506177,0.8831771198354235,-0.4880249976068277,0.6744624043184329,
amazon,sage,off_policy,5,5,0.8391552345970104,0.018465973452558317,99.12420780086065,0.8465694235689261,0.8061269918688495,nan,nan,
amazon,sage,all_node_mh,5,5,0.8438306585145675,0.013849082241304359,99.67648665565872,0.8465694235689261,0.8061269918688495,0.9587017177032802,0.19599969850554078,
amazon,sage,det_mask,5,5,0.848914800393859,0.012143724534133583,100.27704483054036,0.8465694235689261,0.8061269918688495,1.5801076258222322,0.09461678080029538,
amazon,sage,g_opd_flash,5,5,0.8423353209977206,0.014838762457883941,99.49985170107425,0.8465694235689261,0.8061269918688495,0.6051376302518381,0.28887012575694515,
amazon,sage,opd_action_strict,5,5,0.8396483604141991,0.017809372230878865,99.18245769785194,0.8465694235689261,0.8061269918688495,0.1283267459555655,0.45204185762817656,
amazon,sage,opd_action_strict_mh,5,5,0.8376914377310717,0.018657365770963847,98.95129854791743,0.8465694235689261,0.8061269918688495,-0.5241859141411702,0.6860732573686168,
amazon,gcn,off_policy,5,5,0.6039185866648022,0.20333294694573475,263.547040193943,0.2291502064376748,0.22856759665397786,nan,nan,
amazon,gcn,all_node_mh,5,5,0.6732847634190079,0.2507293400454276,293.8180915853247,0.2291502064376748,0.22856759665397786,1.7900158611406332,0.0739739477812071,
