dataset,model,run_name,seed,metrics_present,diagnostics_present,auprc,roc_auc,macro_f1,g_means,diag_mean_abs_delta_rel,diag_mean_alpha_llm,diag_mean_alpha_llm_accepted,diag_mean_alpha_llm_rejected,diag_max_abs_alpha_llm_rejected,diag_mean_gate_entropy,diag_mean_dominance_rho,diag_gate_weight_rel_0,diag_gate_weight_rel_1,diag_gate_weight_rel_2
amazon,bwgnn,phase2_amz_c3_drel05_ltrust3em3_tau18_lsp0,42,True,True,0.8649919418188738,0.9695789078241863,0.9133481266392223,0.8699452591605977,0.1879684031009674,0.0,nan,0.0,0.0,1.0405497550964355,0.020241769030690193,0.1905367076396942,0.3874744772911072,0.4219888150691986
amazon,bwgnn,phase2_amz_c3_drel05_ltrust3em3_tau18_lsp0,123,True,True,0.8593385074117766,0.9819439226802363,0.9144947780152717,0.8859717091053549,0.465972900390625,0.0,nan,0.0,0.0,0.5003438591957092,0.12476889044046402,0.005690186750143766,0.8011029958724976,0.1932067573070526
amazon,bwgnn,phase2_amz_c3_drel05_ltrust3em3_tau18_lsp0,456,True,True,0.8609569549309218,0.9761702127659575,0.9075240855702806,0.8865686060929829,0.23613578081130981,0.0,nan,0.0,0.0,0.8914058208465576,0.027534402906894684,0.16607478260993958,0.18808412551879883,0.645841121673584
amazon,bwgnn,phase2_amz_c3_drel05_ltrust3em3_tau18_lsp0,789,True,True,0.8427593533459197,0.9663768313923705,0.9161821191105433,0.8783042330974208,0.1869492083787918,0.0,nan,0.0,0.0,1.0158120393753052,0.017291158437728882,0.44059452414512634,0.40152257680892944,0.1578828990459442
amazon,bwgnn,phase2_amz_c3_drel05_ltrust3em3_tau18_lsp0,2026,True,True,0.894586589796035,0.9797097093678495,0.9128460444249917,0.9148614184184908,0.49431312084198,0.0,nan,0.0,0.0,0.015677636489272118,0.6373684406280518,0.0008129359339363873,0.9979888200759888,0.00119822658598423
amazon,bwgnn,phase2_amz_c4_drel05_ltrust1em2_tau13_lsp3em4,42,True,True,0.8649826268284483,0.9695795908609679,0.9133481266392223,0.8699452591605977,0.18809644877910614,0.0,nan,0.0,0.0,0.9982895255088806,0.019370675086975098,0.15043115615844727,0.40225544571876526,0.44731345772743225
amazon,bwgnn,phase2_amz_c4_drel05_ltrust1em2_tau13_lsp3em4,123,True,True,0.8593399610776343,0.9819432396434548,0.9144947780152717,0.8859717091053549,0.47338539361953735,0.0,nan,0.0,0.0,0.2965579330921173,0.16967013478279114,0.0008804120006971061,0.8992717862129211,0.09984779357910156
amazon,bwgnn,phase2_amz_c4_drel05_ltrust1em2_tau13_lsp3em4,456,True,True,0.8609527962926153,0.9761620163245789,0.9075240855702806,0.8865686060929829,0.1865614503622055,0.0,nan,0.0,0.0,0.8993963599205017,0.023282866925001144,0.1702839583158493,0.19068527221679688,0.6390307545661926
amazon,bwgnn,phase2_amz_c4_drel05_ltrust1em2_tau13_lsp3em4,789,True,True,0.8427611976592654,0.966376148355589,0.9161821191105433,0.8783042330974208,0.1871115118265152,0.0,nan,0.0,0.0,0.9637499451637268,0.016757359728217125,0.4754140377044678,0.40887486934661865,0.11571108549833298
amazon,bwgnn,phase2_amz_c4_drel05_ltrust1em2_tau13_lsp3em4,2026,True,True,0.894580769827752,0.9797090263310679,0.9128460444249917,0.9148614184184908,0.49406588077545166,0.0,nan,0.0,0.0,0.0029116543009877205,0.7339109182357788,0.00010879819456022233,0.9996961355209351,0.00019500836788211018
amazon,bwgnn,phase2_amz_c5_drel05_align_only,42,True,True,0.8649379201107427,0.9695686622724634,0.9133481266392223,0.8699452591605977,0.13674522936344147,0.0,0.0,0.0,0.0,0.9634138941764832,0.018705056980252266,0.16948817670345306,0.25708720088005066,0.5734245777130127
amazon,bwgnn,phase2_amz_c5_drel05_align_only,123,True,True,0.8593966347728177,0.9819548512687408,0.9069228692031097,0.8911435418984646,0.47968995571136475,0.0,0.0,0.0,0.0,0.05156419798731804,0.34528425335884094,0.0018627903191372752,0.006696695927530527,0.9914405345916748
amazon,bwgnn,phase2_amz_c5_drel05_align_only,456,True,True,0.8609419518254733,0.9761599672142344,0.9075240855702806,0.8865686060929829,0.18717530369758606,0.0,0.0,0.0,0.0,0.8099899291992188,0.026322346180677414,0.1407291144132614,0.15539924800395966,0.7038715481758118
amazon,bwgnn,phase2_amz_c5_drel05_align_only,789,True,True,0.8425693215048475,0.966351559031454,0.9171920208106601,0.8800247131656291,0.3541471064090729,0.0,0.0,0.0,0.0,0.7332450151443481,0.030818384140729904,0.19565387070178986,0.07816419005393982,0.7261819839477539
amazon,bwgnn,phase2_amz_c5_drel05_align_only,2026,True,True,0.8945940762256414,0.9797131245517572,0.9128460444249917,0.9148614184184908,0.49809959530830383,0.0,0.0,0.0,0.0,0.8200217485427856,0.10376454889774323,0.09255065768957138,0.371585875749588,0.5358635187149048
amazon,bwgnn,phase2_amz_c6_drel05_judge_residual,42,True,True,0.8649379201107427,0.9695686622724634,0.9133481266392223,0.8699452591605977,0.13674521446228027,1.451814932806883e-05,0.002375408075749874,0.0,0.0,0.9634140729904175,0.01870506815612316,0.16948817670345306,0.25708726048469543,0.5734245777130127
amazon,bwgnn,phase2_amz_c6_drel05_judge_residual,123,True,True,0.8593966347728177,0.9819548512687408,0.9069228692031097,0.8911435418984646,0.47968992590904236,1.391754085489083e-05,0.0026385891251266003,0.0,0.0,0.05155862867832184,0.345284104347229,0.0018625964876264334,0.006695779971778393,0.9914416670799255
amazon,bwgnn,phase2_amz_c6_drel05_judge_residual,456,True,True,0.8609419518254733,0.9761599672142344,0.9075240855702806,0.8865686060929829,0.18717530369758606,1.132691977545619e-05,0.0023734865244477987,0.0,0.0,0.8099899291992188,0.026322346180677414,0.1407291144132614,0.15539924800395966,0.7038716077804565
amazon,bwgnn,phase2_amz_c6_drel05_judge_residual,789,True,True,0.8425693215048475,0.966351559031454,0.9171920208106601,0.8800247131656291,0.35414713621139526,1.1337652722431812e-05,0.0023757354356348515,0.0,0.0,0.7332449555397034,0.030818386003375053,0.19565388560295105,0.07816415280103683,0.7261819839477539
amazon,bwgnn,phase2_amz_c6_drel05_judge_residual,2026,True,True,0.8945940762256414,0.9797131245517572,0.9128460444249917,0.9148614184184908,0.4980996549129486,3.981647751061246e-05,0.008492286317050457,0.0,0.0,0.8199791312217712,0.1037503033876419,0.09254227578639984,0.37151938676834106,0.5359382629394531
