dataset,method,run_name,row_type,seed,status,roc_auc,auprc,macro_f1,f1,delta_auprc_vs_base,delta_roc_auc_vs_base,delta_macro_f1_vs_base,delta_auprc_vs_best_single,delta_macro_f1_vs_best_single,near_cap_fraction,residual_shift_mean,residual_shift_max_abs,mean_gate_all_relations,gate_vs_near_cap_corr,gate_vs_abs_residual_corr,mean_sparse_penalty,positive_auprc_vs_base_seeds
yelpchi,all_rel,qwen_directional_t200_cover_rel_nollm,seed,123,complete,0.8204799361625482,0.501400139735464,0.6691620817367677,0.40959595959595957,0.023438888031883987,0.008950309194189376,0.0035348038482376776,-0.004011099087939507,-0.008897719138190152,0.6796579360961914,0.11708561331033707,0.19999933242797852,,,,,
yelpchi,all_rel,qwen_directional_t200_cover_rel_nollm,seed,456,complete,0.8109392530245092,0.4893643600538335,0.6618248303239449,0.3946072076743583,0.023430442437965437,0.004123026070796176,0.010065542926575133,-0.004817534383129485,-0.007875774303270022,0.8512425422668457,0.16154153645038605,0.19999980926513672,,,,,
yelpchi,all_rel,qwen_directional_t200_cover_rel_nollm,seed,789,complete,0.8109062366932329,0.47245145805049266,0.6443546825090559,0.36282954842077786,0.012446970181729189,0.004848003224471875,0.004735533056232755,-0.006030239344962218,0.0006181775015523527,0.8460851907730103,0.1466231346130371,0.20000004768371582,,,,,
yelpchi,all_rel,qwen_directional_t200_cover_rel_nollm,seed,2026,complete,0.8109696242364988,0.49762907206083135,0.5608332059418062,0.19369817578772802,0.02693059103314338,0.004412166204711965,-0.04677998140172235,-0.005626808124375493,-0.027375939718401465,0.8217782974243164,0.15969990193843842,0.20000004768371582,,,,,
yelpchi,all_rel,qwen_directional_t200_cover_rel_nollm,mean,,5/5 complete,0.8072968880219252,0.48155999722059906,0.6282377441976665,0.3287332693656144,0.02385157614536264,0.00591006627787225,-0.009687129832082132,-0.003247806598342606,-0.012391102709634616,0.8069504261016845,0.14677035361528395,0.19999985694885253,,,,,5
yelpchi,all_rel,qwen_directional_t200_cover_rel_nollm,std,,5/5 complete,0.014095632581099754,0.02232279580468319,0.045125844102096975,0.08996196825779591,0.007479770710994246,0.002092599760989186,0.023743743802520492,0.004260724408798569,0.010756133048356374,0.07204123013813347,0.01782630553436679,3.1085979486478084e-07,,,,,5
yelpchi,anchor_gate,cover_rel_anchor_gate_nollm,seed,42,complete,0.7810202611133078,0.4358374968397744,0.6053511245058008,0.28378378378378377,0.02189352967949182,0.005047697815662833,-0.019654343560690957,-0.00687081141390572,-0.01808705386082088,0.859576940536499,0.15734615921974182,0.20000004768371582,0.4467388987541199,-0.4228600561618805,-0.3863217532634735,0.340216726064682,
yelpchi,anchor_gate,cover_rel_anchor_gate_nollm,seed,123,complete,0.8193743239605319,0.5052169523238443,0.6789401274949416,0.4302942595272552,0.027255700620264278,0.00784469699217305,0.013312849606411548,-0.0001942864995592153,0.0008803266199837179,0.5286808609962463,0.1335604190826416,0.19975614547729492,0.459185928106308,-0.5417454838752747,-0.532658576965332,0.3775577247142792,
yelpchi,anchor_gate,cover_rel_anchor_gate_nollm,seed,456,complete,0.8129193750245597,0.4944126738126025,0.6707936218077235,0.41370747454680906,0.028478756196734456,0.0061031480708466646,0.019034334410353737,0.00023077937563953377,0.001093017180508582,0.4536057710647583,0.14104638993740082,0.19850778579711914,0.4222584366798401,-0.5425522923469543,-0.7166837453842163,0.2667753994464874,
yelpchi,anchor_gate,cover_rel_anchor_gate_nollm,seed,789,complete,0.8130365824048428,0.4805815241437129,0.6459460928333711,0.3658155289213132,0.020577036274949445,0.006978348936081735,0.006326943380547956,0.002099826748258038,0.002209587825867554,0.7562780380249023,0.13689395785331726,0.1999986171722412,0.6292020678520203,0.006214201916009188,0.006659540347754955,0.8876060247421265,
yelpchi,anchor_gate,cover_rel_anchor_gate_nollm,seed,2026,complete,0.8149289269554122,0.5054176626902176,0.6129459308807135,0.2948717948717949,0.03471918166252963,0.008371468923625391,0.005332743537184936,0.0021617825050107564,0.02473678522050582,0.816642701625824,0.15244725346565247,0.19999980926513672,0.390119731426239,-0.4853189289569855,-0.44254070520401,0.17035923898220062,
yelpchi,anchor_gate,cover_rel_anchor_gate_nollm,mean,,5/5 complete,0.8082558938917309,0.4842932619620304,0.64279537950451,0.3576945683301912,0.026584840886793925,0.0068690721476779345,0.004870505474761444,-0.0005145418569113214,0.002166532597208959,0.682956862449646,0.1442588359117508,0.19965248107910155,0.46950101256370547,-0.39725251188501715,-0.4143090480938554,0.40850302278995515,5
yelpchi,anchor_gate,cover_rel_anchor_gate_nollm,std,,5/5 complete,0.01544774732153985,0.028931737728223172,0.03314111189065236,0.06686481840798957,0.005663624831697315,0.001334637167440141,0.014796032577733665,0.003710049366541179,0.015185788445210761,0.18086290257489995,0.010214518760176738,0.0006485220128255369,0.09308892337949426,0.2308609291554383,0.26656703478448335,0.27926667240197545,5
yelpchi,base_gate,cover_rel_base_gate_nollm,seed,42,complete,0.7787817514697867,0.42264735943524834,0.5629585385309954,0.20076238881829733,0.008703392274965749,0.002809188172141708,-0.06204692953549629,-0.02006094881843179,-0.06047963983562621,0.9315837621688843,0.16082461178302765,0.20000004768371582,0.12631438672542572,-0.2328031063079834,-0.2154606431722641,0.37894314527511597,
yelpchi,base_gate,cover_rel_base_gate_nollm,seed,123,complete,0.8154343830381989,0.4950805416347769,0.6783342194275986,0.42853664475286096,0.017119289931196824,0.0039047560698400874,0.012706941539068595,-0.01033069718862667,0.000274418552640765,0.8132915496826172,0.16209983825683594,0.20000004768371582,0.4886039197444916,-0.09407082945108414,-0.08012349158525467,1.4658119678497314,
yelpchi,base_gate,cover_rel_base_gate_nollm,seed,456,complete,0.8099671478567587,0.4830150572641973,0.6543192105932987,0.3796664019062748,0.017081139648329247,0.0031509209030456953,0.0025599231959289037,-0.011166837172765676,-0.015381394033916251,0.8388823866844177,0.15574727952480316,0.20000004768371582,0.20074863731861115,-0.4656362235546112,-0.42107951641082764,0.6022459268569946,
yelpchi,base_gate,cover_rel_base_gate_nollm,seed,789,complete,0.8098861023550117,0.4707360056880254,0.6364593455341316,0.3463506598437921,0.01073151781926196,0.0038278688862506405,-0.0031598039186915283,-0.007745691707429447,-0.00727715947337193,0.8368368148803711,0.14799869060516357,0.20000004768371582,0.20969414710998535,-0.47727319598197937,-0.4418313205242157,0.6290825009346008,
yelpchi,base_gate,cover_rel_base_gate_nollm,seed,2026,complete,0.8116684838159568,0.49793882594647887,0.582842511309752,0.23664854493124401,0.027240344918790904,0.005111025784169998,-0.024770676033776584,-0.0053170542387279696,-0.005366634350455701,0.7697480320930481,0.15722119808197021,0.19999980926513672,0.3468991219997406,0.5379923582077026,0.48614081740379333,1.040697455406189,
yelpchi,base_gate,cover_rel_base_gate_nollm,mean,,5/5 complete,0.8051475737071425,0.4738835579937454,0.6229827650791553,0.31839292805049385,0.016175136918508935,0.003760751963089626,-0.014942108950593381,-0.01092424582519631,-0.017646081828145865,0.8380685091018677,0.1567783236503601,0.2,0.2744520425796509,-0.1463581994175911,-0.13447083085775374,0.8233561992645264,5
yelpchi,base_gate,cover_rel_base_gate_nollm,std,,5/5 complete,0.01490955436828109,0.03060395170123135,0.04858374800816898,0.09641939590403531,0.007238975253157665,0.0008840035104664554,0.029686186549248293,0.005599872674878898,0.024593120061512996,0.05922175976855685,0.00554599205550342,1.066240299940009e-07,0.14377077924985648,0.41532684970857653,0.3779175869766853,0.43131242191500724,5
