dataset,model,run_name,seed,metrics_present,diagnostics_present,auprc,roc_auc,macro_f1,g_means,diag_mean_abs_delta_rel,diag_mean_alpha_llm,diag_mean_alpha_llm_accepted,diag_mean_alpha_llm_rejected,diag_max_abs_alpha_llm_rejected,diag_mean_gate_entropy,diag_mean_dominance_rho,diag_gate_weight_rel_0,diag_gate_weight_rel_1,diag_gate_weight_rel_2
yelpchi,bwgnn,phase2_yelp_s2_lsparse_1em3,2026,True,True,0.5664968026061951,0.8691357139454574,0.72960695753283,0.6908284040791202,1.4251610040664673,0.0,nan,0.0,0.0,0.0030552265234291553,0.5940561890602112,0.9996462464332581,0.00017004659457597882,0.00018372866907157004
yelpchi,bwgnn,phase2_yelp_s2_lsparse_3em3,42,True,True,0.5428485151062244,0.8591422507262818,0.718428081297348,0.7198419839397178,1.5372196435928345,0.0,nan,0.0,0.0,0.0029653951060026884,0.8152112364768982,0.9996607899665833,0.0001329238439211622,0.0002063704887405038
yelpchi,bwgnn,phase2_yelp_s2_lsparse_3em3,123,True,True,0.5841476269143541,0.8709198707342121,0.7347111466511155,0.7068235975451866,1.4590785503387451,0.0,nan,0.0,0.0,0.00209868629463017,0.5346932411193848,0.9997619390487671,0.00011614406685112044,0.0001219456025864929
yelpchi,bwgnn,phase2_yelp_s2_lsparse_3em3,456,True,True,0.5710487456441178,0.8646004662892535,0.7260740090331129,0.7184580834426645,1.5400880575180054,0.0,nan,0.0,0.0,0.011069673113524914,0.7776945233345032,0.9985341429710388,0.001361464150249958,0.00010441753693157807
yelpchi,bwgnn,phase2_yelp_s2_lsparse_3em3,789,True,True,0.5705007768208417,0.8701547640230701,0.7282748130848491,0.7077184095388114,1.4538373947143555,0.0,nan,0.0,0.0,0.003346360055729747,0.5691103935241699,0.9996041655540466,0.0001885272649815306,0.00020737413433380425
yelpchi,bwgnn,phase2_yelp_s2_lsparse_3em3,2026,True,True,0.5664702769290103,0.8690594105945033,0.728620767813892,0.6902927527715047,1.4297912120819092,0.0,nan,0.0,0.0,0.003098416840657592,0.6027490496635437,0.9996405839920044,0.00017192219092976302,0.0001875447778729722
yelpchi,bwgnn,phase2_yelp_s3_lalign_0,42,True,True,0.5429824090228346,0.8594081209594463,0.7225087463169031,0.7087097770546193,1.5263161659240723,0.0,0.0,0.0,0.0,0.0031672557815909386,0.7591876983642578,0.999636709690094,0.0001443918445147574,0.0002189433726016432
yelpchi,bwgnn,phase2_yelp_s3_lalign_0,123,True,True,0.5837449309672283,0.8706294199556045,0.7351892135031242,0.7143693574560229,1.440797209739685,0.0,0.0,0.0,0.0,0.0019998266361653805,0.5086089372634888,0.9997765421867371,0.00011931376502616331,0.00010411121184006333
yelpchi,bwgnn,phase2_yelp_s3_lalign_0,456,True,True,0.5707613229755735,0.8643707102748182,0.72678942505081,0.7171104426445106,1.5315431356430054,0.0,0.0,0.0,0.0,0.019777420908212662,0.8055667877197266,0.9970834255218506,0.002787184901535511,0.00012946051720064133
yelpchi,bwgnn,phase2_yelp_s3_lalign_0,789,True,True,0.5708994269371033,0.8701707124710083,0.7268021702766418,0.6886764168739319,1.4236031770706177,0.0,0.0,0.0,0.0,0.003957720473408699,nan,0.9995197057723999,0.00023079686798155308,0.0002495904918760061
